"UMean [m/s]:0","UMean [m/s]:1","UMean [m/s]:2","boundaryT [K]","boundaryU [m/s]:0","boundaryU [m/s]:1","boundaryU [m/s]:2","dsmcRhoN [1/m3]","dsmcRhoNMean [1/m3]","dsmcSigmaTcRMax [m3/s]","fD [Pa]:0","fD [Pa]:1","fD [Pa]:2","fDMean [Pa]:0","fDMean [Pa]:1","fDMean [Pa]:2","iDof [1/m3]","iDofMean [1/m3]","internalE [Pa]","internalEMean [Pa]","internalT [kg m2/s2]","linearKE [Pa]","linearKEMean [Pa]","momentum [kg/(m2 s)]:0","momentum [kg/(m2 s)]:1","momentum [kg/(m2 s)]:2","momentumMean [kg/(m2 s)]:0","momentumMean [kg/(m2 s)]:1","momentumMean [kg/(m2 s)]:2","overallT [kg m2/s2]","q [kg/s3]","qMean [kg/s3]","rhoM [kg/m3]","rhoMMean [kg/m3]","rhoN [1/m3]","rhoNMean [1/m3]","translationalT [kg m2/s2]","p [Pa]","Points:0","Points:1","Points:2"
266.92,-8.4557,-0.50393,295,274,0,0,19,23.461,3.8187e-16,0,0,0,0,0,0,0,0,0,0,0,0.00067927,0.0007966,1.4609e-06,-5.4349e-07,3.8516e-07,1.6608e-06,-5.2611e-08,-3.1354e-09,295.72,0,0,5.0388e-09,6.222e-09,7.6e+16,9.3846e+16,295.72,0.00038315,-0.085,0,0
272.39,-6.0075,-0.42336,295,274,0,0,22,24.423,3.635e-16,0,0,0,0,0,0,0,0,0,0,0,0.00083843,0.0008399,1.6529e-06,-1.6485e-07,3.0684e-07,1.7657e-06,-3.8286e-08,-2.7215e-09,296.05,0,0,5.8344e-09,6.477e-09,8.8e+16,9.7693e+16,296.05,0.00039933,-0.085,0.00025,0
273.97,-2.3052,-0.15667,295,274,0,0,27.5,24.848,3.3653e-16,0,0,0,0,0,0,0,0,0,0,0,0.001095,0.00085875,1.8687e-06,2.6832e-07,7.1611e-08,1.8059e-06,-1.5369e-08,-1.0589e-09,296.96,0,0,7.293e-09,6.5896e-09,1.1e+17,9.9391e+16,296.96,0.00040748,-0.085,0.0005,0
272.61,-1.6048,0.030423,295,274,0,0,26,24.689,3.4013e-16,0,0,0,0,0,0,0,0,0,0,0,0.0010359,0.00085064,1.9343e-06,4.1261e-08,-9.3611e-09,1.7852e-06,-1.0563e-08,1.9929e-10,296.92,0,0,6.8952e-09,6.5475e-09,1.04e+17,9.8756e+16,296.92,0.00040483,-0.085,0.00075,0
273.38,-1.5849,0.17891,295,274,0,0,23,24.748,3.4938e-16,0,0,0,0,0,0,0,0,0,0,0,0.00084182,0.00085431,1.8245e-06,-1.469e-07,4.5508e-07,1.7944e-06,-1.0451e-08,1.1617e-09,297.07,0,0,6.0996e-09,6.5631e-09,9.2e+16,9.8992e+16,297.07,0.000406,-0.085,0.001,0
272.63,-1.8378,0.50092,295,274,0,0,23,24.686,3.0231e-16,0,0,0,0,0,0,0,0,0,0,0,0.00074286,0.00085181,1.5408e-06,-1.6972e-07,5.8929e-07,1.7849e-06,-1.2088e-08,3.2914e-09,297.54,0,0,6.0996e-09,6.5468e-09,9.2e+16,9.8745e+16,297.54,0.00040564,-0.085,0.00125,0
274.27,-2.7616,0.45179,295,274,0,0,22,24.944,3.1287e-16,0,0,0,0,0,0,0,0,0,0,0,0.0007336,0.00086293,1.5782e-06,-1.4847e-07,6.6735e-08,1.8143e-06,-1.8268e-08,2.9886e-09,297.19,0,0,5.8344e-09,6.615e-09,8.8e+16,9.9774e+16,297.19,0.00040939,-0.085,0.0015,0
274.14,-2.6916,0.2052,295,274,0,0,25.5,24.88,3.9198e-16,0,0,0,0,0,0,0,0,0,0,0,0.00082951,0.00086027,2.0276e-06,-1.9409e-09,1.6752e-07,1.8088e-06,-1.7763e-08,1.3544e-09,297.08,0,0,6.7626e-09,6.5982e-09,1.02e+17,9.952e+16,297.08,0.0004082,-0.085,0.00175,0
273.33,-2.514,-0.12649,295,274,0,0,24.5,25.289,3.6984e-16,0,0,0,0,0,0,0,0,0,0,0,0.00078687,0.00087235,1.9615e-06,-2.9871e-08,2.8657e-07,1.8331e-06,-1.6859e-08,-8.8701e-10,296.82,0,0,6.4974e-09,6.7066e-09,9.8e+16,1.0116e+17,296.82,0.00041454,-0.085,0.002,0
273.14,-1.7133,-0.47248,295,274,0,0,22,25.011,3.3566e-16,0,0,0,0,0,0,0,0,0,0,0,0.00073062,0.00086121,1.5363e-06,-5.41e-08,5.2425e-09,1.8117e-06,-1.1522e-08,-3.1265e-09,296.22,0,0,5.8344e-09,6.633e-09,8.8e+16,1.0005e+17,296.22,0.00040917,-0.085,0.00225,0
273.63,-1.7333,-0.17439,295,274,0,0,23.5,23.24,3.4653e-16,0,0,0,0,0,0,0,0,0,0,0,0.00068821,0.00080345,1.4824e-06,1.34e-07,-2.2753e-08,1.6863e-06,-1.0464e-08,-1.1656e-09,297.57,0,0,6.2322e-09,6.1634e-09,9.4e+16,9.2962e+16,297.57,0.00038183,-0.085,0.0025,0
274.63,-1.5645,0.11925,295,274,0,0,24,23.4,3.4431e-16,0,0,0,0,0,0,0,0,0,0,0,0.0007995,0.00081078,1.7316e-06,-1.1407e-07,-2.7147e-08,1.7044e-06,-9.4025e-09,7.2701e-10,297.61,0,0,6.3648e-09,6.2056e-09,9.6e+16,9.3599e+16,297.61,0.00038448,-0.085,0.00275,0
274.65,-1.3628,0.10697,295,274,0,0,19,23.394,3.269e-16,0,0,0,0,0,0,0,0,0,0,0,0.00077569,0.00081099,1.5826e-06,-1.8434e-07,-9.0361e-08,1.7041e-06,-8.2104e-09,6.5442e-10,297.81,0,0,5.0388e-09,6.2041e-09,7.6e+16,9.3577e+16,297.81,0.00038463,-0.085,0.003,0
273.8,-2.8554,0.48949,295,274,0,0,20,23.382,3.2755e-16,0,0,0,0,0,0,0,0,0,0,0,0.00061125,0.00081078,1.3639e-06,3.8217e-07,5.1396e-08,1.6977e-06,-1.7929e-08,3.1452e-09,298.64,0,0,5.304e-09,6.201e-09,8e+16,9.3529e+16,298.64,0.00038557,-0.085,0.00325,0
273.65,-3.6741,0.14463,295,274,0,0,26,24.069,3.6246e-16,0,0,0,0,0,0,0,0,0,0,0,0.00084241,0.00083255,2.0171e-06,2.1381e-08,-8.952e-09,1.7467e-06,-2.3439e-08,1.0134e-09,297.68,0,0,6.8952e-09,6.383e-09,1.04e+17,9.6275e+16,297.68,0.00039569,-0.085,0.0035,0
275.41,-4.3433,-0.6318,295,274,0,0,25,24.365,3.3761e-16,0,0,0,0,0,0,0,0,0,0,0,0.00086906,0.0008446,1.9482e-06,-4.8947e-07,-6.311e-08,1.7799e-06,-2.8183e-08,-4.0988e-09,296.99,0,0,6.63e-09,6.4616e-09,1e+17,9.7461e+16,296.99,0.0003996,-0.085,0.00375,0
275.74,-3.1647,-0.28127,295,274,0,0,23.5,25.023,3.3849e-16,0,0,0,0,0,0,0,0,0,0,0,0.00073762,0.00086746,1.5014e-06,-9.7748e-08,1.1494e-07,1.8299e-06,-2.1059e-08,-1.8809e-09,296.75,0,0,6.2322e-09,6.6361e-09,9.4e+16,1.0009e+17,296.75,0.00041008,-0.085,0.004,0
275.13,-0.59536,-0.29244,295,274,0,0,27,24.974,3.7965e-16,0,0,0,0,0,0,0,0,0,0,0,0.00089522,0.00086702,1.8003e-06,2.7029e-07,-2.9313e-07,1.8222e-06,-3.9263e-09,-1.946e-09,297.91,0,0,7.1604e-09,6.6232e-09,1.08e+17,9.9898e+16,297.91,0.00041089,-0.085,0.00425,0
274.56,-1.5977,-0.42596,295,274,0,0,23.5,25.019,3.5137e-16,0,0,0,0,0,0,0,0,0,0,0,0.00074673,0.00086749,1.567e-06,1.848e-07,-5.6275e-07,1.8217e-06,-1.0585e-08,-2.8289e-09,297.89,0,0,6.2322e-09,6.635e-09,9.4e+16,1.0008e+17,297.89,0.00041159,-0.085,0.0045,0
274.52,-3.7094,-0.12972,295,274,0,0,24,25.057,3.235e-16,0,0,0,0,0,0,0,0,0,0,0,0.000837,0.00086766,1.954e-06,-9.4088e-09,-5.5123e-07,1.8242e-06,-2.4655e-08,-8.6219e-10,297.35,0,0,6.3648e-09,6.6452e-09,9.6e+16,1.0023e+17,297.35,0.00041148,-0.085,0.00475,0
275.61,-2.7844,-0.61512,295,274,0,0,30,25.09,3.2858e-16,0,0,0,0,0,0,0,0,0,0,0,0.001069,0.00086999,2.5574e-06,9.7801e-09,-9.1106e-08,1.8339e-06,-1.8539e-08,-4.0882e-09,296.97,0,0,7.956e-09,6.654e-09,1.2e+17,1.0036e+17,296.97,0.00041149,-0.085,0.005,0
274.71,-1.8989,-0.46784,295,274,0,0,26.5,24.998,3.5884e-16,0,0,0,0,0,0,0,0,0,0,0,0.0009231,0.00086515,2.1777e-06,9.4566e-08,8.1705e-08,1.8212e-06,-1.2584e-08,-3.1105e-09,296.97,0,0,7.0278e-09,6.6296e-09,1.06e+17,9.9994e+16,296.97,0.00040998,-0.085,0.00525,0
