"UMean [m/s]:0","UMean [m/s]:1","UMean [m/s]:2","boundaryT [K]","boundaryU [m/s]:0","boundaryU [m/s]:1","boundaryU [m/s]:2","dsmcRhoN [1/m3]","dsmcRhoNMean [1/m3]","dsmcSigmaTcRMax [m3/s]","fD [Pa]:0","fD [Pa]:1","fD [Pa]:2","fDMean [Pa]:0","fDMean [Pa]:1","fDMean [Pa]:2","iDof [1/m3]","iDofMean [1/m3]","internalE [Pa]","internalEMean [Pa]","internalT [kg m2/s2]","linearKE [Pa]","linearKEMean [Pa]","momentum [kg/(m2 s)]:0","momentum [kg/(m2 s)]:1","momentum [kg/(m2 s)]:2","momentumMean [kg/(m2 s)]:0","momentumMean [kg/(m2 s)]:1","momentumMean [kg/(m2 s)]:2","overallT [kg m2/s2]","q [kg/s3]","qMean [kg/s3]","rhoM [kg/m3]","rhoMMean [kg/m3]","rhoN [1/m3]","rhoNMean [1/m3]","translationalT [kg m2/s2]","p [Pa]","Points:0","Points:1","Points:2"
146.23,-10.163,-0.13069,295,0,0,0,21.5,23.851,3.6259e-16,0,0,0,0.00015038,-0.00035109,2.5151e-07,0,0,0,0,0,0.00050097,0.00071373,1.0116e-06,-1.902e-07,-1.6965e-07,9.2484e-07,-6.4145e-08,-7.8446e-10,326.87,0,0.023131,5.7018e-09,6.3252e-09,8.6e+16,9.5403e+16,326.87,0.00035109,0.004,0,0
145.15,-9.58,-0.1256,295,0,0,0,22,24.338,3.0688e-16,0,0,0,0.00015918,-0.00037188,-6.6322e-07,0,0,0,0,0,0.00050093,0.00072518,8.4899e-07,-1.0741e-07,1.1564e-07,9.3689e-07,-6.1826e-08,-8.0212e-10,325.8,0,0.02429,5.8344e-09,6.4546e-09,8.8e+16,9.7354e+16,325.8,0.00037188,0.0045,0,0
144.72,-9.6668,-0.10233,295,0,0,0,21.5,24.332,3.4151e-16,0,0,0,0.0001574,-0.00037036,-9.0836e-07,0,0,0,0,0,0.00053347,0.00072417,8.0968e-07,1.9622e-07,5.5575e-07,9.3386e-07,-6.2374e-08,-6.5142e-10,325.6,0,0.024246,5.7018e-09,6.4529e-09,8.6e+16,9.7329e+16,325.6,0.00037036,0.005,0,0
144.31,-9.267,-0.095011,295,0,0,0,29,24.391,3.7284e-16,0,0,0,0.00015995,-0.00037422,-6.0605e-07,0,0,0,0,0,0.00068079,0.00072572,5.8012e-07,2.0245e-07,-1.5957e-08,9.3349e-07,-5.9948e-08,-6.1014e-10,325.69,0,0.024433,7.6908e-09,6.4685e-09,1.16e+17,9.7565e+16,325.69,0.00037422,0.0055,0,0
143.77,-8.9024,0.0069964,295,0,0,0,32.5,24.328,3.5576e-16,0,0,0,0.0001597,-0.00037187,-6.1898e-07,0,0,0,0,0,0.00080436,0.00072378,4.1905e-07,2.3359e-07,3.2203e-08,9.2755e-07,-5.7436e-08,4.504e-11,325.93,0,0.024231,8.619e-09,6.4518e-09,1.3e+17,9.7312e+16,325.93,0.00037187,0.006,0,0
142.46,-8.1215,0.56486,295,0,0,0,29.5,24.185,3.4543e-16,0,0,0,0.0001562,-0.00036429,-5.5865e-07,0,0,0,0,0,0.00095411,0.00071946,9.7535e-07,-1.4051e-07,3.1722e-07,9.1379e-07,-5.2114e-08,3.616e-09,326.51,0,0.023577,7.8234e-09,6.4139e-09,1.18e+17,9.674e+16,326.51,0.00036429,0.0065,0,0
142.12,-8.3107,0.56926,295,0,0,0,32,24.075,3.4685e-16,0,0,0,0.00015568,-0.00036368,-4.0738e-07,0,0,0,0,0,0.0010638,0.00071529,1.3493e-06,-2.957e-07,-4.4461e-08,9.0739e-07,-5.3068e-08,3.633e-09,326.21,0,0.023315,8.4864e-09,6.3847e-09,1.28e+17,9.63e+16,326.21,0.00036368,0.007,0,0
141.5,-8.1276,0.19122,295,0,0,0,28,24.057,3.2591e-16,0,0,0,0.00015562,-0.00036269,-1.2523e-07,0,0,0,0,0,0.00070288,0.00071249,7.4087e-07,5.9744e-08,1.9922e-07,9.0279e-07,-5.1867e-08,1.2226e-09,325.36,0,0.023385,7.4256e-09,6.38e-09,1.12e+17,9.6229e+16,325.36,0.00036269,0.0075,0,0
141.79,-8.3209,0.0082484,295,0,0,0,25,24.02,3.3514e-16,0,0,0,0.00015519,-0.00036323,-6.2892e-08,0,0,0,0,0,0.00061374,0.00071068,7.2396e-07,9.3479e-08,3.9491e-08,9.0326e-07,-5.301e-08,5.2589e-11,324.86,0,0.023568,6.63e-09,6.3702e-09,1e+17,9.6081e+16,324.86,0.00036323,0.008,0,0
142.8,-8.8482,-0.081204,295,0,0,0,28.5,25.114,3.7861e-16,0,0,0,0.00016028,-0.00037526,-5.4158e-07,0,0,0,0,0,0.00090841,0.00074435,1.189e-06,-2.094e-08,-1.5559e-07,9.5093e-07,-5.8738e-08,-5.7029e-10,325.02,0,0.024577,7.5582e-09,6.6602e-09,1.14e+17,1.0046e+17,325.02,0.00037526,0.0085,0,0
143,-9.3952,-0.092058,295,0,0,0,26.5,25.276,3.5901e-16,0,0,0,0.00016368,-0.00038183,8.1941e-08,0,0,0,0,0,0.00084693,0.00075034,5.8635e-07,7.0211e-09,1.1205e-07,9.5834e-07,-6.2681e-08,-6.3948e-10,325.5,0,0.024924,7.0278e-09,6.7032e-09,1.06e+17,1.011e+17,325.5,0.00038183,0.009,0,0
143.12,-9.0515,0.188,295,0,0,0,24,24.396,3.6564e-16,0,0,0,0.00016174,-0.00037641,1.1295e-07,0,0,0,0,0,0.00062607,0.00072547,2.4911e-07,-2.2817e-07,1.2909e-07,9.2597e-07,-5.8546e-08,1.2183e-09,326.05,0,0.02405,6.3648e-09,6.4699e-09,9.6e+16,9.7586e+16,326.05,0.00037641,0.0095,0,0
142.94,-8.4128,0.32882,295,0,0,0,21.5,24.438,3.7887e-16,0,0,0,0.00015996,-0.00037284,-9.6557e-07,0,0,0,0,0,0.00057289,0.00072703,6.8692e-07,-2.6813e-07,1.1092e-07,9.2642e-07,-5.4524e-08,2.131e-09,326.31,0,0.024083,5.7018e-09,6.481e-09,8.6e+16,9.7753e+16,326.31,0.00037284,0.01,0,0
142.02,-8.6542,-0.34095,295,0,0,0,19.5,24.3,3.7003e-16,0,0,0,0.00015677,-0.00036781,-2.9741e-07,0,0,0,0,0,0.00064581,0.00072195,9.8379e-07,-3.021e-07,3.2193e-07,9.1529e-07,-5.5796e-08,-2.174e-09,326.23,0,0.024059,5.1714e-09,6.4444e-09,7.8e+16,9.72e+16,326.23,0.00036781,0.0105,0,0
141.63,-8.9308,-0.74995,295,0,0,0,25,24.136,3.622e-16,0,0,0,0.00015771,-0.00036985,3.0316e-07,0,0,0,0,0,0.00078102,0.00071712,1.0405e-06,-4.3525e-07,-9.2898e-08,9.0651e-07,-5.7158e-08,-4.8016e-09,326.44,0,0.023875,6.63e-09,6.4008e-09,1e+17,9.6542e+16,326.44,0.00036985,0.011,0,0
142.01,-8.7988,-0.53358,295,0,0,0,21,24.154,3.0273e-16,0,0,0,0.00015927,-0.00037207,-2.4573e-07,0,0,0,0,0,0.00055646,0.00071829,6.551e-07,-3.6233e-07,-5.248e-07,9.0969e-07,-5.635e-08,-3.4179e-09,326.58,0,0.024043,5.5692e-09,6.4057e-09,8.4e+16,9.6616e+16,326.58,0.00037207,0.0115,0,0
140.89,-7.724,-0.24038,295,0,0,0,21.5,24.171,2.701e-16,0,0,0,0.0001573,-0.00036731,-7.9548e-07,0,0,0,0,0,0.0005314,0.00071746,2.4484e-07,-5.6818e-10,-1.8792e-07,9.0313e-07,-4.9512e-08,-1.5428e-09,326.45,0,0.023834,5.7018e-09,6.4102e-09,8.6e+16,9.6684e+16,326.45,0.00036731,0.012,0,0
140.69,-8.2553,-0.12681,295,0,0,0,25,25.213,3.282e-16,0,0,0,0.00016092,-0.0003759,-7.0411e-07,0,0,0,0,0,0.00074575,0.0007469,2.5927e-07,7.052e-08,6.7861e-08,9.4082e-07,-5.5345e-08,-8.9791e-10,325.82,0,0.024674,6.63e-09,6.6866e-09,1e+17,1.0085e+17,325.82,0.0003759,0.0125,0,0
142.02,-9.544,-0.41798,295,0,0,0,21,25.178,3.6858e-16,0,0,0,0.0001618,-0.0003786,-8.5711e-07,0,0,0,0,0,0.00077785,0.00074696,7.4786e-07,-1.4302e-07,-2.3339e-07,9.48e-07,-6.3501e-08,-2.7575e-09,325.73,0,0.024852,5.5692e-09,6.6773e-09,8.4e+16,1.0071e+17,325.73,0.0003786,0.013,0,0
143.53,-10.604,-0.41982,295,0,0,0,20.5,24.093,3.4916e-16,0,0,0,0.00015891,-0.00037303,8.2363e-08,0,0,0,0,0,0.00081539,0.00071686,1.2057e-06,-2.917e-07,1.4801e-09,9.1711e-07,-6.7754e-08,-2.6819e-09,326.02,0,0.024325,5.4366e-09,6.3895e-09,8.2e+16,9.6373e+16,326.02,0.00037303,0.0135,0,0
142.97,-9.7372,-0.42626,295,0,0,0,21,24.212,3.3985e-16,0,0,0,0.00015996,-0.00037323,4.0008e-07,0,0,0,0,0,0.00070807,0.00071945,9.3134e-07,-3.9647e-07,4.5099e-07,9.1795e-07,-6.2491e-08,-2.7402e-09,325.84,0,0.024421,5.5692e-09,6.421e-09,8.4e+16,9.6847e+16,325.84,0.00037323,0.014,0,0
139.79,-7.2252,-0.54655,295,0,0,0,24.5,25.273,3.4435e-16,0,0,0,0.00015874,-0.00037097,-3.3769e-07,0,0,0,0,0,0.00070998,0.00074675,1.0487e-06,-4.2278e-07,1.7896e-07,9.3637e-07,-4.8079e-08,-3.6634e-09,325.37,0,0.024386,6.4974e-09,6.7023e-09,9.8e+16,1.0109e+17,325.37,0.00037097,0.0145,0,0
137.64,-5.8636,-0.54771,295,0,0,0,28,26.232,3.439e-16,0,0,0,0.00015654,-0.00036851,-2.973e-07,0,0,0,0,0,0.00082507,0.00077196,1.4284e-06,-5.2912e-07,-2.988e-08,9.5751e-07,-4.0791e-08,-3.8103e-09,324.87,0,0.024485,7.4256e-09,6.9567e-09,1.12e+17,1.0493e+17,324.87,0.00036851,0.015,0,0
165.18,8.7601,-0.15849,295,0,0,0,25.75,27.315,3.7383e-16,0,0,0,0.00017862,-0.00040843,6.5195e-07,0,0,0,0,0,0.00068749,0.00084612,8.9031e-07,1.8259e-07,1.4197e-08,1.1971e-06,6.7523e-08,-1.1619e-09,329.76,0,0.024524,6.8289e-09,7.2439e-09,1.03e+17,1.0926e+17,329.76,0.00040843,0.0005,0,0.001
151.38,1.339,0.21947,295,0,0,0,24.75,26.177,3.4487e-16,0,0,0,0.00017891,-0.000409,3.9769e-07,0,0,0,0,0,0.00059895,0.00078965,7.029e-07,4.8679e-08,3.0209e-07,1.0478e-06,1.3717e-08,1.3918e-09,327.58,0,0.024367,6.5637e-09,6.9421e-09,9.9e+16,1.0471e+17,327.58,0.000409,0.001,0,0.001
145.97,0.76733,0.30918,295,0,0,0,25.25,25.786,3.5854e-16,0,0,0,0.00017889,-0.00040892,-3.1111e-07,0,0,0,0,0,0.00064381,0.00077086,7.0052e-07,7.6143e-08,3.9156e-07,9.9734e-07,6.2196e-09,1.9923e-09,326.69,0,0.024578,6.6963e-09,6.8385e-09,1.01e+17,1.0315e+17,326.69,0.00040892,0.0015,0,0.001
143.2,0.61372,0.091511,295,0,0,0,23,25.585,3.8749e-16,0,0,0,0.00017864,-0.00040819,2.6016e-07,0,0,0,0,0,0.00063303,0.00076142,5.4429e-07,2.054e-07,9.4208e-08,9.7186e-07,3.5514e-09,6.0199e-10,326.25,0,0.024513,6.0996e-09,6.785e-09,9.2e+16,1.0234e+17,326.25,0.00040819,0.002,0,0.001
141.79,0.0032904,-0.11008,295,0,0,0,23,25.503,3.7523e-16,0,0,0,0.00017813,-0.00040818,1.6213e-07,0,0,0,0,0,0.00065932,0.00075662,6.7965e-07,1.9465e-07,7.6863e-08,9.5822e-07,1.0571e-09,-7.3701e-10,325.79,0,0.024146,6.0996e-09,6.7635e-09,9.2e+16,1.0201e+17,325.79,0.00040818,0.0025,0,0.001
141.04,-0.22688,-0.4583,295,0,0,0,26,25.486,3.64e-16,0,0,0,0.00017836,-0.00040903,1.4848e-07,0,0,0,0,0,0.00073952,0.00075523,1.0354e-06,-4.1227e-09,3.2025e-08,9.5136e-07,1.1631e-09,-3.1102e-09,325.88,0,0.024534,6.8952e-09,6.7589e-09,1.04e+17,1.0194e+17,325.88,0.00040903,0.003,0,0.001
140.57,-0.51183,-0.43599,295,0,0,0,26.75,25.422,3.6866e-16,0,0,0,0.00017929,-0.00040984,6.7567e-07,0,0,0,0,0,0.00074225,0.00075372,1.0361e-06,6.1425e-08,1.5203e-07,9.443e-07,1.6941e-09,-2.9241e-09,326.39,0,0.024676,7.0941e-09,6.742e-09,1.07e+17,1.0169e+17,326.39,0.00040984,0.0035,0,0.001
139.81,-0.4624,-0.14586,295,0,0,0,23,25.34,3.7435e-16,0,0,0,0.00017895,-0.00040872,4.161e-07,0,0,0,0,0,0.00059847,0.00075049,8.3394e-07,3.3183e-08,-1.3461e-08,9.3699e-07,8.2852e-10,-9.6804e-10,326.24,0,0.024435,6.0996e-09,6.7201e-09,9.2e+16,1.0136e+17,326.24,0.00040872,0.004,0,0.001
139,-0.35423,-0.10446,295,0,0,0,24.5,25.342,3.5124e-16,0,0,0,0.00017846,-0.0004087,-4.4449e-07,0,0,0,0,0,0.00063033,0.00074913,1.0087e-06,2.4688e-08,-3.7953e-08,9.3257e-07,8.0009e-11,-6.9133e-10,325.83,0,0.024474,6.4974e-09,6.7207e-09,9.8e+16,1.0137e+17,325.83,0.0004087,0.0045,0,0.001
138.7,-0.42773,-0.10283,295,0,0,0,24.5,25.371,3.6748e-16,0,0,0,0.00017818,-0.00040918,-3.1888e-07,0,0,0,0,0,0.0006085,0.0007491,1.053e-06,5.0533e-09,2.8967e-07,9.3154e-07,-3.281e-10,-6.8687e-10,325.54,0,0.024421,6.4974e-09,6.7285e-09,9.8e+16,1.0149e+17,325.54,0.00040918,0.005,0,0.001
138.4,-0.25984,-0.13055,295,0,0,0,28.5,25.371,3.7104e-16,0,0,0,0.00017848,-0.0004092,-1.1261e-07,0,0,0,0,0,0.00071311,0.00074889,8.3834e-07,1.3697e-08,-1.5577e-07,9.2967e-07,5.9145e-10,-8.8545e-10,325.58,0,0.024355,7.5582e-09,6.7285e-09,1.14e+17,1.0149e+17,325.58,0.0004092,0.0055,0,0.001
138.1,-0.1755,0.063049,295,0,0,0,30,25.316,3.5687e-16,0,0,0,0.00017884,-0.00040863,-5.7065e-07,0,0,0,0,0,0.0008311,0.0007479,9.0487e-07,1.9706e-08,-1.8567e-07,9.257e-07,1.111e-09,4.3523e-10,326.02,0,0.024435,7.956e-09,6.7138e-09,1.2e+17,1.0126e+17,326.02,0.00040863,0.006,0,0.001
137.99,-0.2358,0.61674,295,0,0,0,24.75,25.231,3.6643e-16,0,0,0,0.00017913,-0.00040827,-5.0597e-07,0,0,0,0,0,0.00080423,0.00074535,1.0569e-06,-2.6354e-07,1.4594e-07,9.2214e-07,5.9411e-10,4.1393e-09,326.09,0,0.024525,6.5637e-09,6.6913e-09,9.9e+16,1.0092e+17,326.09,0.00040827,0.0065,0,0.001
137.78,-0.24151,0.61687,295,0,0,0,26.75,25.184,3.6958e-16,0,0,0,0.00017879,-0.00040794,-2.5862e-07,0,0,0,0,0,0.00086141,0.0007433,1.0793e-06,-2.8701e-07,-1.0358e-08,9.189e-07,7.5301e-10,4.1342e-09,325.87,0,0.024441,7.0941e-09,6.6788e-09,1.07e+17,1.0074e+17,325.87,0.00040794,0.007,0,0.001
137.72,-0.3973,0.19606,295,0,0,0,29.5,25.203,3.4801e-16,0,0,0,0.00017877,-0.00040775,-3.1525e-07,0,0,0,0,0,0.00080709,0.00074335,1.0213e-06,-2.8224e-07,-3.1173e-09,9.1937e-07,-3.2844e-10,1.311e-09,325.62,0,0.024505,7.8234e-09,6.6838e-09,1.18e+17,1.0081e+17,325.62,0.00040775,0.0075,0,0.001
137.88,-0.46531,0.071456,295,0,0,0,26.75,25.219,3.5981e-16,0,0,0,0.00017862,-0.00040809,-3.3672e-07,0,0,0,0,0,0.00075635,0.00074347,1.1672e-06,-2.1315e-07,1.002e-07,9.2096e-07,-6.1853e-10,4.9778e-10,325.37,0,0.024503,7.0941e-09,6.6882e-09,1.07e+17,1.0088e+17,325.37,0.00040809,0.008,0,0.001
137.39,0.063735,0.15237,295,0,0,0,26.25,25.192,3.8755e-16,0,0,0,0.00017877,-0.00040828,-5.1829e-07,0,0,0,0,0,0.00086272,0.00074296,1.3861e-06,-3.5453e-08,3.2847e-08,9.1779e-07,6.7525e-10,9.8987e-10,325.63,0,0.024376,6.9615e-09,6.6809e-09,1.05e+17,1.0077e+17,325.63,0.00040828,0.0085,0,0.001
137.17,-0.026143,-0.00090832,295,0,0,0,26.5,25.199,3.5019e-16,0,0,0,0.00017887,-0.0004081,-1.6087e-07,0,0,0,0,0,0.00081733,0.00074293,1.0159e-06,-4.3135e-08,-9.5402e-08,9.1665e-07,-1.9752e-10,-7.361e-11,325.61,0,0.024362,7.0278e-09,6.6827e-09,1.06e+17,1.008e+17,325.61,0.0004081,0.009,0,0.001
137.64,-0.42459,0.097777,295,0,0,0,23.25,25.232,3.6905e-16,0,0,0,0.0001787,-0.00040815,3.2852e-08,0,0,0,0,0,0.00062627,0.00074367,5.8067e-07,-1.2297e-07,4.4943e-08,9.198e-07,-9.1407e-10,6.3357e-10,325.39,0,0.024285,6.1659e-09,6.6916e-09,9.3e+16,1.0093e+17,325.39,0.00040815,0.0095,0,0.001
137.55,-0.109,0.32892,295,0,0,0,24,25.212,3.8107e-16,0,0,0,0.00017846,-0.00040838,-5.8331e-07,0,0,0,0,0,0.00065481,0.00074315,7.2209e-07,-1.3205e-07,2.0223e-07,9.1861e-07,9.6777e-10,2.1993e-09,325.47,0,0.024219,6.3648e-09,6.6863e-09,9.6e+16,1.0085e+17,325.47,0.00040838,0.01,0,0.001
137.16,-0.11769,-0.20491,295,0,0,0,24.75,25.192,3.5643e-16,0,0,0,0.00017787,-0.00040843,1.0596e-07,0,0,0,0,0,0.000737,0.0007424,1.0287e-06,-1.9636e-07,2.488e-07,9.1525e-07,1.2008e-09,-1.3324e-09,325.57,0,0.024284,6.5637e-09,6.681e-09,9.9e+16,1.0077e+17,325.57,0.00040843,0.0105,0,0.001
137.27,-0.41222,-0.76073,295,0,0,0,26,25.145,3.6647e-16,0,0,0,0.00017803,-0.00040837,5.2782e-07,0,0,0,0,0,0.00076014,0.00074211,1.0468e-06,-1.9437e-07,-4.9094e-08,9.142e-07,-4.7371e-10,-5.0733e-09,326.06,0,0.024375,6.8952e-09,6.6683e-09,1.04e+17,1.0058e+17,326.06,0.00040837,0.011,0,0.001
137.22,-0.29703,-0.6059,295,0,0,0,24,25.125,3.3847e-16,0,0,0,0.00017819,-0.00040803,-5.1074e-08,0,0,0,0,0,0.00068779,0.00074177,9.0493e-07,-8.5895e-08,-2.594e-07,9.1307e-07,2.1559e-10,-4.055e-09,326.19,0,0.02435,6.3648e-09,6.6633e-09,9.6e+16,1.005e+17,326.19,0.00040803,0.0115,0,0.001
136.84,-0.26698,-0.24852,295,0,0,0,22.5,25.184,3.0074e-16,0,0,0,0.00017831,-0.00040814,-5.2268e-07,0,0,0,0,0,0.00064265,0.00074256,7.5863e-07,1.0965e-08,-5.1933e-08,9.1286e-07,2.1698e-10,-1.6628e-09,325.93,0,0.024431,5.967e-09,6.6789e-09,9e+16,1.0074e+17,325.93,0.00040814,0.012,0,0.001
136.52,0.038784,-0.14663,295,0,0,0,23.75,25.215,3.3121e-16,0,0,0,0.00017909,-0.00040877,-4.3505e-07,0,0,0,0,0,0.00073022,0.00074326,5.866e-07,4.1789e-08,1.2661e-07,9.1307e-07,-2.1422e-11,-1.0168e-09,325.87,0,0.02464,6.2985e-09,6.6871e-09,9.5e+16,1.0086e+17,325.87,0.00040877,0.0125,0,0.001
136.61,0.052085,-0.36066,295,0,0,0,23.25,25.192,3.7471e-16,0,0,0,0.00017914,-0.00040886,-6.7755e-07,0,0,0,0,0,0.00083347,0.00074292,8.9556e-07,-1.9962e-07,4.3116e-08,9.1249e-07,4.7004e-10,-2.4228e-09,325.96,0,0.024502,6.1659e-09,6.6809e-09,9.3e+16,1.0077e+17,325.96,0.00040886,0.013,0,0.001
137.16,-0.59414,-0.52638,295,0,0,0,24,25.174,3.5742e-16,0,0,0,0.00017848,-0.00040868,-1.6326e-07,0,0,0,0,0,0.00078937,0.00074257,1.081e-06,-2.9702e-07,7.4506e-08,9.1389e-07,-1.0992e-09,-3.5443e-09,325.87,0,0.02439,6.3648e-09,6.676e-09,9.6e+16,1.0069e+17,325.87,0.00040868,0.0135,0,0.001
136.99,-0.44738,-0.36809,295,0,0,0,24,25.21,3.511e-16,0,0,0,0.00017853,-0.00040849,5.6615e-07,0,0,0,0,0,0.00069307,0.00074274,8.7167e-07,-7.8359e-08,1.1806e-07,9.1427e-07,-5.1277e-10,-2.4494e-09,325.53,0,0.024416,6.3648e-09,6.6858e-09,9.6e+16,1.0084e+17,325.53,0.00040849,0.014,0,0.001
136.38,0.17666,-0.37053,295,0,0,0,24.75,25.251,3.5345e-16,0,0,0,0.00017863,-0.00040859,-9.595e-09,0,0,0,0,0,0.00070099,0.00074273,8.8774e-07,-1.1332e-07,1.742e-07,9.1279e-07,1.4051e-09,-2.4424e-09,325.23,0,0.024487,6.5637e-09,6.6965e-09,9.9e+16,1.01e+17,325.23,0.00040859,0.0145,0,0.001
136.13,0.48916,-0.53146,295,0,0,0,25,25.26,3.4404e-16,0,0,0,0.00017862,-0.00040878,-2.6963e-07,0,0,0,0,0,0.00068227,0.00074238,8.9e-07,-2.6802e-07,2.8474e-07,9.1229e-07,1.6391e-09,-3.5644e-09,325.03,0,0.024649,6.63e-09,6.6989e-09,1e+17,1.0104e+17,325.03,0.00040878,0.015,0,0.001
161.74,14.419,-0.14586,295,0,0,0,26.5,28.868,3.8417e-16,0,0,0,0.00020567,-0.00046223,1.3304e-06,0,0,0,0,0,0.00059675,0.00088911,7.6777e-07,1.3441e-07,8.2899e-09,1.2378e-06,1.1019e-07,-1.1163e-09,329.35,0,0.025954,7.0278e-09,7.6557e-09,1.06e+17,1.1547e+17,329.35,0.00046223,0.0005,0,0.002
146.16,8.0602,0.042155,295,0,0,0,30.5,28.63,3.3001e-16,0,0,0,0.00021508,-0.00048255,9.0695e-07,0,0,0,0,0,0.00058761,0.00085753,6.6664e-07,5.8753e-09,3.1931e-07,1.1101e-06,6.1254e-08,3.0322e-10,327.22,0,0.026937,8.0886e-09,7.5927e-09,1.22e+17,1.1452e+17,327.22,0.00048255,0.001,0,0.002
