"UMean [m/s]:0","UMean [m/s]:1","UMean [m/s]:2","boundaryT [K]","boundaryU [m/s]:0","boundaryU [m/s]:1","boundaryU [m/s]:2","dsmcRhoN [1/m3]","dsmcRhoNMean [1/m3]","dsmcSigmaTcRMax [m3/s]","fD [Pa]:0","fD [Pa]:1","fD [Pa]:2","fDMean [Pa]:0","fDMean [Pa]:1","fDMean [Pa]:2","iDof [1/m3]","iDofMean [1/m3]","internalE [Pa]","internalEMean [Pa]","internalT [kg m2/s2]","linearKE [Pa]","linearKEMean [Pa]","momentum [kg/(m2 s)]:0","momentum [kg/(m2 s)]:1","momentum [kg/(m2 s)]:2","momentumMean [kg/(m2 s)]:0","momentumMean [kg/(m2 s)]:1","momentumMean [kg/(m2 s)]:2","overallT [kg m2/s2]","q [kg/s3]","qMean [kg/s3]","rhoM [kg/m3]","rhoMMean [kg/m3]","rhoN [1/m3]","rhoNMean [1/m3]","translationalT [kg m2/s2]","p [Pa]","Points:0","Points:1","Points:2"
177.18,10.308,-0.24701,295,0,0,0,34,27.678,3.4893e-16,0,0,0,0.00015299,-0.00035797,-7.7887e-07,0,0,0,0,0,0.0010684,0.00087549,1.3401e-06,3.5658e-07,2.4385e-07,1.3006e-06,7.5662e-08,-1.8131e-09,331.42,0,0.023571,9.0168e-09,7.3403e-09,1.36e+17,1.1071e+17,331.42,0.00035797,0,0,0
175.42,15.258,-0.20285,295,0,0,0,30.5,28.21,3.7163e-16,0,0,0,0.00017905,-0.00040944,1.909e-08,0,0,0,0,0,0.0009041,0.00089048,1.2219e-06,3.2203e-07,2.1637e-07,1.3122e-06,1.1485e-07,-1.5113e-09,331.39,0,0.024634,8.0886e-09,7.4814e-09,1.22e+17,1.1284e+17,331.39,0.00040944,0,0,0.001
173.67,20.209,-0.15868,295,0,0,0,27,28.743,3.9433e-16,0,0,0,0.00020512,-0.0004609,8.1705e-07,0,0,0,0,0,0.0007398,0.00090547,1.1037e-06,2.8748e-07,1.8889e-07,1.3238e-06,1.5404e-07,-1.2096e-09,331.36,0,0.025696,7.1604e-09,7.6225e-09,1.08e+17,1.1497e+17,331.36,0.0004609,0,0,0.002
168.62,3.1014,-0.17111,295,0,0,0,25,25.762,3.6349e-16,0,0,0,0.00015156,-0.00035463,-2.646e-08,0,0,0,0,0,0.00077823,0.00080314,1.0128e-06,2.3076e-07,2.0105e-08,1.1564e-06,2.4851e-08,-1.2076e-09,330.17,0,0.023093,6.63e-09,6.8321e-09,1e+17,1.0305e+17,330.17,0.00035463,0.0005,0,0
156.61,-5.3821,0.39678,295,0,0,0,19,23.724,3.5973e-16,0,0,0,0.00014273,-0.00033545,-1.1156e-07,0,0,0,0,0,0.00061028,0.00072178,7.3916e-07,9.1482e-08,2.8488e-07,9.8546e-07,-3.3821e-08,2.4804e-09,327.93,0,0.021797,5.0388e-09,6.2915e-09,7.6e+16,9.4895e+16,327.93,0.00033545,0.001,0,0
150.7,-6.289,0.39555,295,0,0,0,24.5,25.264,3.6072e-16,0,0,0,0.00014951,-0.00035084,-3.2023e-07,0,0,0,0,0,0.00071088,0.00075981,8.1004e-07,-8.19e-08,4.7708e-07,1.0087e-06,-4.1974e-08,2.4328e-09,326.71,0,0.023423,6.4974e-09,6.7001e-09,9.8e+16,1.0106e+17,326.71,0.00035084,0.0015,0,0
149.21,-7.807,-0.068236,295,0,0,0,22,26.005,3.718e-16,0,0,0,0.00016556,-0.00038438,3.2507e-07,0,0,0,0,0,0.00065696,0.00078136,8.3466e-07,-1.201e-07,2.8476e-07,1.0288e-06,-5.3379e-08,-4.7779e-10,327.01,0,0.025464,5.8344e-09,6.8965e-09,8.8e+16,1.0402e+17,327.01,0.00038438,0.002,0,0
149.18,-9.7671,-0.15073,295,0,0,0,16,25.104,3.6573e-16,0,0,0,0.00016498,-0.00038414,-1.4459e-07,0,0,0,0,0,0.00055258,0.00075497,6.7166e-07,1.9974e-07,2.3776e-07,9.9318e-07,-6.5027e-08,-1.0041e-09,327.26,0,0.025011,4.2432e-09,6.6577e-09,6.4e+16,1.0042e+17,327.26,0.00038414,0.0025,0,0
147.41,-9.268,-0.40432,295,0,0,0,20,24.297,3.792e-16,0,0,0,0.00015091,-0.000354,-4.3304e-07,0,0,0,0,0,0.00062845,0.00072928,1.0341e-06,9.5574e-08,1.8342e-07,9.5002e-07,-5.9844e-08,-2.5741e-09,327.42,0,0.023707,5.304e-09,6.4435e-09,8e+16,9.7187e+16,327.42,0.000354,0.003,0,0
146.81,-9.8551,-0.46777,295,0,0,0,24,23.352,3.9787e-16,0,0,0,0.0001391,-0.00032682,3.8942e-08,0,0,0,0,0,0.00068867,0.00070082,1.3131e-06,-2.3728e-08,6.3111e-08,9.0918e-07,-6.0996e-08,-2.8992e-09,327.63,0,0.022151,6.3648e-09,6.1928e-09,9.6e+16,9.3406e+16,327.63,0.00032682,0.0035,0,0
