"UMean [m/s]:0","UMean [m/s]:1","UMean [m/s]:2","boundaryT [K]","boundaryU [m/s]:0","boundaryU [m/s]:1","boundaryU [m/s]:2","dsmcRhoN [1/m3]","dsmcRhoNMean [1/m3]","dsmcSigmaTcRMax [m3/s]","fD [Pa]:0","fD [Pa]:1","fD [Pa]:2","fDMean [Pa]:0","fDMean [Pa]:1","fDMean [Pa]:2","iDof [1/m3]","iDofMean [1/m3]","internalE [Pa]","internalEMean [Pa]","internalT [kg m2/s2]","linearKE [Pa]","linearKEMean [Pa]","momentum [kg/(m2 s)]:0","momentum [kg/(m2 s)]:1","momentum [kg/(m2 s)]:2","momentumMean [kg/(m2 s)]:0","momentumMean [kg/(m2 s)]:1","momentumMean [kg/(m2 s)]:2","overallT [kg m2/s2]","q [kg/s3]","qMean [kg/s3]","rhoM [kg/m3]","rhoMMean [kg/m3]","rhoN [1/m3]","rhoNMean [1/m3]","translationalT [kg m2/s2]","p [Pa]","Points:0","Points:1","Points:2"
269.83,-9.5165,0.25531,295,250,0,0,32,24.637,3.6356e-16,0,0,0,0,0,0,0,0,0,0,0,0.0010574,0.0008489,2.1376e-06,-1.9834e-07,-5.9728e-07,1.763e-06,-6.2179e-08,1.6681e-09,299.24,0,0,8.4864e-09,6.5338e-09,1.28e+17,9.8549e+16,299.24,0.00040716,0.115,0,0
270.46,-7.5071,-0.0049922,295,250,0,0,25.5,24.973,3.4143e-16,0,0,0,0,0,0,0,0,0,0,0,0.00086079,0.00086007,1.7855e-06,1.6294e-07,-3.4586e-07,1.7912e-06,-4.9539e-08,-5.6208e-11,298.57,0,0,6.7626e-09,6.6227e-09,1.02e+17,9.9891e+16,298.57,0.00041176,0.115,0.00025,0
270.95,-4.2853,-0.31718,295,250,0,0,25,25.091,3.1497e-16,0,0,0,0,0,0,0,0,0,0,0,0.00092441,0.00086334,1.9878e-06,2.6895e-07,9.8543e-08,1.8029e-06,-2.8585e-08,-2.1075e-09,297.82,0,0,6.63e-09,6.6541e-09,1e+17,1.0036e+17,297.82,0.00041268,0.115,0.0005,0
270.32,-3.0029,0.12846,295,250,0,0,26,24.921,3.3618e-16,0,0,0,0,0,0,0,0,0,0,0,0.00095242,0.00085666,1.9456e-06,1.658e-07,1.6582e-07,1.7865e-06,-1.9845e-08,8.5522e-10,297.98,0,0,6.8952e-09,6.609e-09,1.04e+17,9.9684e+16,297.98,0.00041011,0.115,0.00075,0
269.26,-2.9454,0.08123,295,250,0,0,23,25.02,3.5248e-16,0,0,0,0,0,0,0,0,0,0,0,0.00079724,0.00085888,1.799e-06,4.994e-08,9.7328e-08,1.7866e-06,-1.9544e-08,5.3147e-10,298.32,0,0,6.0996e-09,6.6354e-09,9.2e+16,1.0008e+17,298.32,0.00041222,0.115,0.001,0
268.66,-2.7686,0.092467,295,250,0,0,27,25.122,3.3708e-16,0,0,0,0,0,0,0,0,0,0,0,0.0010619,0.00086187,2.4816e-06,-2.4723e-07,4.8574e-08,1.7899e-06,-1.8443e-08,6.2341e-10,298.6,0,0,7.1604e-09,6.6624e-09,1.08e+17,1.0049e+17,298.6,0.00041427,0.115,0.00125,0
268.83,-2.5497,0.60986,295,250,0,0,28,25.141,3.2994e-16,0,0,0,0,0,0,0,0,0,0,0,0.0010274,0.00086325,2.2764e-06,-8.9506e-08,7.0102e-08,1.7924e-06,-1.7e-08,4.0665e-09,298.81,0,0,7.4256e-09,6.6673e-09,1.12e+17,1.0056e+17,298.81,0.00041487,0.115,0.0015,0
269.11,-3.0755,0.34724,295,250,0,0,26,25.083,3.1336e-16,0,0,0,0,0,0,0,0,0,0,0,0.00088062,0.00086253,1.7872e-06,-2.8779e-07,1.1435e-07,1.7901e-06,-2.0454e-08,2.3114e-09,299.17,0,0,6.8952e-09,6.652e-09,1.04e+17,1.0033e+17,299.17,0.00041442,0.115,0.00175,0
269.86,-3.6382,0.039637,295,250,0,0,29,25.247,3.4424e-16,0,0,0,0,0,0,0,0,0,0,0,0.00093879,0.00086946,2.0795e-06,-4.1824e-07,-4.1711e-07,1.8069e-06,-2.436e-08,2.6116e-10,299.12,0,0,7.6908e-09,6.6956e-09,1.16e+17,1.0099e+17,299.12,0.00041707,0.115,0.002,0
269.83,-3.0446,0.40421,295,250,0,0,29,25.283,3.5915e-16,0,0,0,0,0,0,0,0,0,0,0,0.00093006,0.00086994,2.2025e-06,-2.5706e-07,-6.1237e-07,1.8093e-06,-2.0439e-08,2.6919e-09,298.79,0,0,7.6908e-09,6.7051e-09,1.16e+17,1.0113e+17,298.79,0.0004172,0.115,0.00225,0
